trial_index,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
205,43,64,128,4,1,600,0.0005252213314617151,521.8979581015625,12.87416545764943,459078.8993147078,677.5536136090692,0.3707148071108034,4.338678,2025-11-12T00:30:29
206,43,64,128,4,1,600,0.000524632661698426,527.4612785996095,13.193483135229789,449840.50237759063,670.7015002052632,0.38337839589094336,4.714097,2025-11-12T00:30:35
207,43,64,128,4,1,600,0.0005241821081762392,534.0120019895834,13.627832497417213,441887.5098096249,664.7461995450782,0.3942800088155396,5.035332,2025-11-12T00:30:42
208,43,64,128,4,1,600,0.0005238021007864579,526.6622470240886,13.253318555623384,439170.1897327572,662.6991698597163,0.39800479183489845,4.961438,2025-11-12T00:30:49
209,43,64,128,4,1,600,0.0005244940327494886,517.2647895631511,12.929238909237705,445918.56947685947,667.7713452049732,0.38875440926384985,4.883841,2025-11-12T00:30:56
210,43,64,128,4,1,600,0.0005239980705320769,530.4345757187501,13.208334107249698,462116.2812791131,679.7913512829602,0.36655129731280967,4.351748,2025-11-12T00:31:02
211,43,64,128,4,1,600,0.0005245752778710314,527.9541171412761,13.2895090842378,452038.8028028824,672.3383097837594,0.3803650622151348,5.228128,2025-11-12T00:31:09
212,43,64,128,4,1,600,0.000524125256382612,533.2855380397136,13.347548940576349,457981.112169417,676.7430178209577,0.3722196055158419,5.07715,2025-11-12T00:31:16
213,43,64,128,4,1,600,0.0005244476839299726,522.0599555787761,12.812220361908283,462982.58931590925,680.4282396519924,0.365363800303362,4.763407,2025-11-12T00:31:24
214,43,64,128,4,1,600,0.0005247765648160969,525.6211398463543,13.26729755249155,439967.88731988077,663.300751786006,0.39691134301655895,4.983711,2025-11-12T00:31:30
215,43,64,128,4,1,600,0.0005230956083778748,523.8847338177084,12.8970381973578,459971.0936795918,678.2116879556056,0.3694918262597149,4.384355,2025-11-12T00:31:37
216,43,64,128,4,1,600,0.0005250077635496058,521.3519442897136,12.860801903543948,453305.1586536866,673.2794060816702,0.37862919723194943,5.26743,2025-11-12T00:31:43
217,43,64,128,4,1,600,0.0005244858747093334,526.5335340520834,13.275753710914593,444092.7223739042,666.402822903613,0.39125720028318134,4.72155,2025-11-12T00:31:51
218,43,64,128,4,1,600,0.0005251297418139086,521.9883375188803,13.074917658000842,439001.67494372575,662.5720149113798,0.39823578450669994,4.784779,2025-11-12T00:31:57
219,43,64,128,4,1,600,0.0005230259567178073,526.8745307740886,13.184573683966821,452760.63878522435,672.8749057478844,0.3793756011528632,4.643397,2025-11-12T00:32:04
220,43,64,128,4,1,600,0.0005253487912175115,532.2766106796876,13.20164192860024,463614.85474171303,680.8926895933845,0.36449711862614265,4.428942,2025-11-12T00:32:11
221,43,64,128,4,1,600,0.0005247801480698344,524.2835950872396,13.06258395300017,450793.5992528118,671.4116466466841,0.3820719325534627,5.254312,2025-11-12T00:32:17
222,43,64,128,4,1,600,0.000524709227892918,521.985580764323,12.966567698230383,455602.12873119296,674.983058106789,0.3754806115303587,4.757935,2025-11-12T00:32:25
223,43,64,128,4,1,600,0.0005244490044258187,529.3776537395834,13.133555541485034,461588.3231852715,679.4029166740982,0.36727499908045025,4.738252,2025-11-12T00:32:32
224,43,64,128,4,1,600,0.000524257201737135,524.4192965846355,13.190844561494922,440339.889683919,663.5811101017863,0.3964014185139113,4.79851,2025-11-12T00:32:38
225,43,64,128,4,1,600,0.0005253294737716304,529.204954764974,13.06901212924109,465887.1998243973,682.5593013243591,0.3613822877859486,4.949038,2025-11-12T00:32:45
226,43,64,128,4,1,600,0.0005231246805251196,529.133529983073,13.155852288838568,461999.42655509757,679.7053968853694,0.3667114766363462,5.328727,2025-11-12T00:32:52
227,43,64,128,4,1,600,0.0005250150851577666,525.6405931927084,13.137265798777713,458035.6250424333,676.7832925260739,0.37214488166366266,4.40997,2025-11-12T00:32:59
228,43,64,128,4,1,600,0.0005230168862914928,528.7385444459636,13.155796604936768,454589.2931563205,674.2323732633434,0.3768689620536567,4.933259,2025-11-12T00:33:06
229,43,64,128,4,1,600,0.000525282236912233,529.4935865423178,13.206275953902843,455965.02861740027,675.2518260748358,0.3749831643045499,4.897341,2025-11-12T00:33:13
230,43,64,128,4,1,600,0.0005261481639771464,529.8546094915365,13.3985748108195,438056.42094686785,661.8583088145588,0.3995314971709717,4.811363,2025-11-12T00:33:20
231,43,64,128,4,1,600,0.0005216953824053178,534.334362250651,13.560677217331197,449655.37131506315,670.5634729949605,0.3836321654206828,5.196174,2025-11-12T00:33:27
232,43,64,128,4,1,600,0.00052693150787359,535.2135369003907,13.42669761881875,457794.19776479347,676.604905217804,0.3724758195726039,4.446211,2025-11-12T00:33:35
233,43,64,128,4,1,599,0.0005263684554532647,530.9172553834636,13.21593272945673,465984.6690922124,682.6306974435097,0.3612486811943816,4.651189,2025-11-12T00:33:41
234,43,64,128,4,1,599,0.0005260905063236948,528.4949327923177,13.179317282793262,453639.70710095175,673.5278072217596,0.3781706129134754,5.309484,2025-11-12T00:33:48
235,42,16,512,2,15,50,0.00020473741523188924,759.7841901796877,18.85217386565305,793531.6378459245,890.8039278348095,-0.08773831803415755,12.028535,2025-11-12T00:33:56
236,43,64,128,4,1,600,0.0005221838161383926,535.4554837363281,13.502532055288727,461977.7988901056,679.6894871116557,0.36674112288965155,4.43303,2025-11-12T00:34:11
237,43,64,128,4,1,600,0.0005239324646535672,525.5248908815105,13.081037534579036,446729.77527314844,668.3784670926708,0.3876424439856536,5.253659,2025-11-12T00:34:18
238,43,64,128,4,1,599,0.0005237848012734203,540.2797024863281,13.404991847297062,476348.5080385927,690.1800547962775,0.34704238593624415,5.075642,2025-11-12T00:34:25
239,43,64,128,4,1,600,0.0005222986364776082,518.9113553183594,12.934165752186255,451004.5060195815,671.5686904699932,0.38178283082039144,4.41457,2025-11-12T00:34:33
240,43,64,128,4,1,600,0.0005230652261625865,538.640257499349,13.44940501701459,468877.5216751444,684.7463192125565,0.35728328592492387,5.090817,2025-11-12T00:34:40
241,43,64,128,4,1,600,0.0005220288000182551,534.1073798951824,13.335777750192221,463186.8956562643,680.5783537964342,0.3650837461449358,4.932247,2025-11-12T00:34:47
242,43,64,128,4,1,600,0.0005218306926009429,532.5476569947917,13.227840026412304,464014.37499775126,681.1860061670022,0.3639494738057002,4.730502,2025-11-12T00:34:55
243,43,64,128,4,1,600,0.000522427297552729,530.2890205201824,13.198966157145742,465590.1314395817,682.3416530152484,0.36178949608090405,5.225615,2025-11-12T00:35:01
244,43,64,128,4,1,599,0.0005243277584795407,528.2476352076824,13.286756134494237,448916.49855290324,670.012312239785,0.38464497975249035,4.388496,2025-11-12T00:35:09
245,43,64,128,4,1,599,0.0005231926246025886,533.6474901653646,13.218646950259561,462454.4616639816,680.0400441620932,0.36608773449378007,4.622863,2025-11-12T00:35:16
246,43,64,128,4,1,599,0.0005236873812035389,549.9450060345052,13.689088577946492,483577.8394102484,695.3976124565344,0.3371327359970653,5.296642,2025-11-12T00:35:24
247,43,64,128,4,1,600,0.0005222616327605257,529.8598721640625,13.161974489349262,464613.9721322004,681.6259767146498,0.3631275723875107,5.061169,2025-11-12T00:35:32
248,43,64,128,4,1,600,0.0005227776804862332,534.2331326621094,13.350759762419898,461900.93823558604,679.6329437538958,0.36684648009922294,4.421931,2025-11-12T00:35:40
249,43,64,128,4,1,600,0.0005208981496499569,521.2058607610678,12.757824815325822,461983.4611043691,679.6936523937597,0.366733361375018,4.971577,2025-11-12T00:35:46
250,43,64,128,4,1,600,0.000520963371675543,535.5290107545574,13.16950970070391,481100.6934260626,693.6142252189344,0.34052829891838454,4.744798,2025-11-12T00:35:53
251,43,64,128,4,1,600,0.0005203057012660754,536.0816195826824,13.505173863114328,458893.81562758895,677.4170175214001,0.37096851170041334,5.035235,2025-11-12T00:36:01
252,43,64,128,4,1,600,0.0005223972022586876,532.9151563665365,13.304792028543973,470395.9982780204,685.8542106585192,0.3552018248876927,5.288819,2025-11-12T00:36:08
253,43,64,128,4,1,600,0.0005207448515572641,534.496821405599,13.258075136498157,466556.9955736644,683.0497753265602,0.36046416118962044,4.451832,2025-11-12T00:36:16
254,43,64,128,4,1,600,0.0005239331787346175,516.5833551705729,13.037021138321448,427155.64241941186,653.5714516557557,0.41447380562499203,4.839129,2025-11-12T00:36:23
255,43,64,128,4,1,599,0.0005241397564608129,526.7996778509115,12.885586652142223,471440.8451776635,686.6155002457077,0.35376959464630475,5.113823,2025-11-12T00:36:30
256,43,64,128,4,1,598,0.0005254165837100184,530.1923516464844,13.056197021986751,481294.98252751544,693.7542666733773,0.3402619759510982,4.846107,2025-11-12T00:36:38
257,43,64,128,4,1,598,0.0005243263472081823,535.1602268092448,13.161278726352895,476260.71656330745,690.1164514509906,0.34716272663485037,4.810946,2025-11-12T00:36:45
