trial_index,test_size,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
436,12,24,32,1024,8,6,784,0.006456328685480946,743.5348359668632,46.78958080404259,576435.326917856,759.2333810613545,-23.43427003021718,13.239027,2025-11-21T04:58:35
437,4,24,64,512,16,9,2000,0.00045181299636062926,815.1894621589014,55.60700308660714,669383.1284866777,818.1583761636115,-137.03444809391215,31.649387,2025-11-21T04:58:54
438,12,24,32,1024,8,6,878,0.005294326049012747,831.8600923145194,52.24020853217029,715582.4928309522,845.9210913737476,-29.332519611899272,14.825304,2025-11-21T04:59:31
439,12,24,32,1024,8,7,977,0.00467589680394279,890.8728486621757,55.881936215745895,817245.6969740704,904.0164251682988,-33.64187760259028,18.954805,2025-11-21T04:59:54
440,12,24,64,512,16,5,1872,0.0012606813109093601,903.715235543686,56.6744505183745,840292.4715736448,916.6746814293742,-34.61879745395081,16.904895,2025-11-21T05:00:23
441,8,24,32,512,4,8,586,0.0011287140837233718,824.1618571886902,54.00232856926812,692902.0505140973,832.4073825442067,-49.727565127576185,8.197995,2025-11-21T05:00:47
442,12,24,32,1024,8,6,960,0.004495845093247249,730.2438610319673,45.96938297196685,556847.3567018096,746.2220558934248,-22.603963955532528,16.04857,2025-11-21T05:01:02
443,12,24,32,1024,8,7,855,0.0050648862549140744,973.959376168686,61.00927759459756,972188.1415638784,985.9960149837718,-40.20966648272746,16.775722,2025-11-21T05:01:26
444,12,24,32,1024,8,7,854,0.005905724157103424,981.5672659798838,61.47876699555484,987065.5727034007,993.5117375770659,-40.84029953528992,16.670291,2025-11-21T05:01:51
445,12,24,32,1024,8,7,728,0.005729170931593259,824.1998343392589,51.76748779328568,702896.6680361623,838.3893296292375,-28.7947856214284,14.426542,2025-11-21T05:02:16
446,12,24,64,512,8,10,2000,0.0005623869828301845,875.9697521452485,54.96225246524661,790914.2084966287,889.3335754915748,-32.52572342238847,34.212277,2025-11-21T05:02:41
447,12,24,32,1024,8,6,1071,0.0033424491206027938,853.2341360970714,53.55921874063186,751599.748524188,866.9485270327114,-30.85923962758858,17.899769,2025-11-21T05:03:23
448,4,24,64,512,8,10,687,0.0007094119474067829,755.4606413581201,51.54885923980645,575570.1724976033,758.6634118616788,-117.68914485436677,12.259735,2025-11-21T05:03:47
449,12,24,32,1024,8,8,808,0.006697275244240569,811.768458199936,51.00033804839346,682559.388809756,826.1715250538208,-27.93271740823447,17.89191,2025-11-21T05:04:07
450,12,24,32,1024,8,8,680,0.0075475415644137055,806.3362275684257,50.665108541779446,673769.3763798906,820.8345609073065,-27.56012133847467,15.226766,2025-11-21T05:04:35
451,12,24,32,1024,8,7,863,0.005353155444132733,821.3897757455089,51.59407664939501,698272.462429018,835.6269876141016,-28.598772151739876,16.778193,2025-11-21T05:04:58
452,12,24,32,1024,8,6,795,0.00413140337824457,811.7334850554048,50.998177926682075,682502.5151082062,826.1371043042469,-27.930306613273796,13.333939,2025-11-21T05:05:23
453,12,24,32,1024,8,7,957,0.00419497906935101,1126.4069876595715,70.41695098370737,1292383.9800834726,1136.830673444147,-53.78231065561745,18.593573,2025-11-21T05:05:44
