trial_index,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
86,8,64,256,32,3,701,0.0005676145241845824,431.6464335808496,23.389230185277178,232779.03648959752,482.4717986469235,-0.8061504851087373,21.228178,2025-11-19T17:49:35
87,8,64,256,8,2,592,0.0005472320357231892,243.359015075133,12.982453593479235,78103.05841875292,279.4692441374416,0.3939923500894351,13.679881,2025-11-19T17:50:00
88,8,64,256,16,2,630,0.000625790734747826,384.0449698700679,20.4428394041827,192063.9681207425,438.25103322267535,-0.49023913160105526,14.268163,2025-11-19T17:50:17
89,8,64,256,8,2,661,0.0006098264065282444,590.5086081757319,31.513043230325692,389982.66878388124,624.4859236074751,-2.025905584240547,15.26541,2025-11-19T17:50:34
90,8,32,256,8,5,657,0.00814084680804113,349.66221503784055,20.241394181377174,173019.52556291848,415.9561582221358,-0.34247183398198233,53.937676,2025-11-19T17:50:51
91,8,32,256,8,6,433,0.005721683016278141,345.0513933889218,19.92943830154413,168818.6988649489,410.87552721590623,-0.3098772958619891,42.148967,2025-11-19T17:51:48
92,8,32,256,4,5,726,0.007987085364756154,347.63365058471555,20.10839073588438,171331.2535216846,413.92179638391184,-0.32937240109380483,58.857132,2025-11-19T17:52:34
93,8,64,256,16,2,459,0.00040994738082459936,630.3491538300289,34.04550799343768,439172.82599673467,662.7011588919509,-2.4075758052896,10.628659,2025-11-19T17:53:36
94,8,64,256,8,4,503,0.007051057357162109,407.1083419338722,23.929515810165867,229507.61950936905,479.0695351505552,-0.7807673086211215,19.218077,2025-11-19T17:53:48
95,8,32,256,4,5,521,0.01,1064.5021645293461,53.5328236585365,1262046.166024091,1123.4082810911138,-8.792313471904496,43.320084,2025-11-19T17:54:10
96,8,64,256,16,3,602,0.0005562353287123751,235.8730956576886,12.687878705252444,78400.68745969802,280.0012276039125,0.3916830234215696,18.347345,2025-11-19T17:54:59
97,12,64,256,16,2,602,0.0005101761579117364,723.8815533254716,38.92037398492012,567540.1311629527,753.3525941834625,-3.4035876197316064,14.100627,2025-11-19T17:55:24
98,8,64,256,8,4,604,0.0008310157856113144,535.1041638367404,31.5118307088277,377341.4119942155,614.281215726328,-1.927821098509551,22.901702,2025-11-19T17:55:42
99,8,32,256,4,6,608,0.00765940307098098,366.98924140502805,21.377445936316608,188781.43639542183,434.48985764390613,-0.4647697149496217,59.550885,2025-11-19T17:56:09
100,8,32,256,8,5,595,0.008899070173849142,347.34855321965097,20.088691712175088,171052.64094890017,413.58510726197596,-0.32721062466805506,49.065159,2025-11-19T17:57:12
101,8,64,256,8,5,607,0.006842391152840609,402.0854537502785,23.614699481514002,224115.6322330869,473.4085257291918,-0.7389304637676446,28.27037,2025-11-19T17:58:05
102,8,64,256,16,3,607,0.0003915470460369374,527.4077577525549,28.654015436373008,328163.8828549226,572.855900602344,-1.5462488596565382,18.644905,2025-11-19T17:58:37
103,8,64,256,32,3,767,0.0006451065582174915,501.45444964708605,27.529524740177315,293900.52215848863,542.1259283215373,-1.2803968032318376,22.708861,2025-11-19T17:58:58
104,12,32,256,8,5,646,0.006597598877609436,361.70811347534055,21.031187176998113,183722.87843526437,428.6290685840898,-0.4255199738583646,53.121675,2025-11-19T17:59:22
105,8,32,256,8,7,723,0.009753158885842689,359.38584785034055,20.878927124822468,181569.11170032027,426.1092720187162,-0.4088087317646023,82.582082,2025-11-19T18:00:18
106,8,32,256,4,4,690,0.00556851119217373,343.6127947561093,19.82970569446136,167450.64612946883,409.20733880206603,-0.29926246924742816,47.376078,2025-11-19T18:01:43
107,8,32,256,16,6,537,0.009106336420956299,346.19183528345303,20.00850082862692,169920.1574272346,412.213727849079,-0.318423597739514,52.392244,2025-11-19T18:02:34
